Kode Supplier,Nama,Alamat,NPWP
1,CV . RIA REMAJA,WONOGIRI,123456
2,CV . KRISMA METALIKA,JL. Kenanga No.8 Sragen,567345
3,CV . PURI MAKARTI,JL. Brigjend Sudiarto No.11 Solo,1011234
4,CV . BAYU SAKTI,WONOGIRI,1455123
5,CV . WAHYU NUGRAHA,Gendeng Puri Timoho Asri No.10 Rt.085/020 Yogyakar,1899012
6,PT . INTI KALIASIN,Jl. Ketintang Baru VIII/15 Surabaya,2342901
7,PT. MIRA SAKTI,Jl. Dr.Cipto 198 Semarang,2786790
8,PT.TIRTA CIPTA NUGROHO,JL. Gn. Kelir Semarang,3230679
9,CV. DHARMA NUSA INDOLAB,"Purwoharjo,Kecamatan Sewon,Bantul,Yogyakarta",3674568
10,CV.DZAKY SUMBER REJEKI,"Jogokaryan,MJ 3/643 Rt.036/010",4118457
11,Percetakan PRIMA OFFCET,Jl. Nakulo Wonokarto Wonogiri,4562346
12,CV. BHIMA TEHNIK,"Daleman,Jetis, Baki,Sukoharjo",5006235
13,CV. SURYA,Jl. Veteran / Citarum Gading SOLO,5450124
14,CV. DUTA SARI,"Karang,Delanggu,Klaten",5894013
15,UD. HARAPAN,Jl. Raya Wonogiri No.16,6337902
16,LANGGENG,Batur Ceper Klaten,6781791
17,CV. EXPOSE INTERPRISE,Jl. Melati XXII A.08 Rt.01/14 Baturan Colomadu Kar,7225680
18,SPBU 44.0564,Jl. Raya Ngadirojo - Wonogiri,7669569
19,CV. SINAR PERMATA,Jl. Achmad Yani No.142 Wonogiri,8113458
20,CV. BINTANG PRATAMA,Jl. Abdul Rachman Saleh SOLO,8557347
21,CV. KIYENDA,Jl. Ahmad Yani No.147 Wonogiri,9001236
22,CV. KRISNA KARYA KENCANA,"Jl. Kanthil No.11 Ringinanom,Sragen",9445125
23,CV. KRISNA SURYA GEMILANG,Jl. Lokayasa Peru Griya Yasa Gentan Baki Sukoharjo,9889014
24,CV. KARYA WARGA,Jl. Yudistira XII Wonokarto Wonogiri,10332903
25,UD. YULIDA,Jl. Pemuda I/5 Wonogiri,10776792
26,CV. AIRA SUMBER BENING,JL. Slamet Riyadi No.90 Rt.02/11 Canthel Wetan Sra,11220681
27,CV. RATNA KARYA,JL. Letjen Suprapto no.05 Wonokarto Wonogiri,11664570
28,CV. AGUNG ABADI,Sindukarto Rt.05/02 Eromoko Wonogiri,12108459
29,CV. SINAR SAKA UTAMA,Perum Batan 18/DK Pelem Wulung Rt.02/42 Bantul YO,12552348
30,CV. PUTRA BUANA PERKASA,Jl. Pelem II No.110 Giripurwo Wonogiri,12996237
31,CV. JALU TUNGGAL PERKASA,JL. Pelem III No.11 Giripurwo Wonogiri,13440126
32,CV. CANDI BARU,Seneng Rt.02/06 Giriwono Wonogiri,13884015
33,CV. ANDHIK PERMATA PURI,JL. Bukit Dingin I/1 Semarang,14327904
34,PT. NASMOCO BENGAWAN MOTOR,Jl. Raya Solo Permai JA No.1 Solo baru,14771793
